iter	Passed	Remaining
0	12	12064
1	21	10911
2	32	10944
3	46	11650
4	62	12533
5	79	13250
6	99	14131
7	112	13908
8	128	14151
9	143	14181
10	157	14135
11	170	14019
12	181	13744
13	196	13848
14	207	13610
15	221	13619
16	237	13727
17	245	13385
18	253	13082
19	269	13210
20	284	13251
21	297	13245
22	310	13194
23	320	13049
24	335	13066
25	342	12847
26	358	12906
27	370	12847
28	382	12811
29	394	12747
30	407	12731
31	419	12696
32	429	12586
33	445	12649
34	463	12778
35	478	12809
36	494	12869
37	511	12955
38	521	12850
39	530	12733
40	539	12621
41	549	12532
42	558	12429
43	566	12317
44	577	12252
45	581	12055
46	592	12003
47	601	11933
48	611	11873
49	621	11812
50	630	11736
51	641	11688
52	650	11629
53	659	11548
54	669	11499
55	678	11433
56	688	11397
57	700	11382
58	708	11294
59	717	11244
60	726	11185
61	735	11123
62	748	11136
63	758	11091
64	770	11090
65	777	11002
66	785	10942
67	796	10912
68	804	10849
69	812	10800
70	826	10815
71	835	10763
72	846	10751
73	853	10677
74	863	10654
75	876	10659
76	888	10647
77	897	10606
78	910	10616
79	918	10558
80	930	10554
81	935	10474
82	948	10475
83	958	10450
84	968	10429
85	981	10434
86	992	10415
87	1001	10380
88	1011	10355
89	1023	10344
90	1038	10372
91	1047	10338
92	1060	10339
93	1075	10369
94	1082	10307
95	1092	10284
96	1104	10283
97	1114	10256
98	1120	10199
99	1132	10190
100	1144	10186
101	1153	10155
102	1163	10135
103	1172	10100
104	1181	10070
105	1190	10041
106	1199	10013
107	1206	9968
108	1219	9970
109	1232	9971
110	1240	9935
111	1253	9937
112	1264	9926
113	1274	9906
114	1285	9894
115	1293	9855
116	1305	9852
117	1313	9819
118	1324	9806
119	1337	9811
120	1346	9780
121	1358	9778
122	1368	9755
123	1377	9728
124	1385	9700
125	1394	9675
126	1399	9619
127	1413	9631
128	1424	9620
129	1438	9625
130	1449	9612
131	1458	9592
132	1463	9540
133	1478	9553
134	1489	9546
135	1497	9515
136	1514	9540
137	1524	9521
138	1539	9539
139	1550	9522
140	1571	9571
141	1587	9592
142	1600	9591
143	1612	9585
144	1625	9582
145	1641	9599
146	1648	9566
147	1654	9523
148	1659	9479
149	1668	9453
150	1675	9421
151	1684	9398
152	1689	9352
153	1697	9323
154	1704	9294
155	1711	9258
156	1716	9219
157	1732	9234
158	1740	9205
159	1748	9180
160	1755	9147
161	1761	9109
162	1765	9066
163	1769	9020
164	1774	8978
165	1779	8941
166	1783	8898
167	1789	8860
168	1795	8828
169	1800	8792
170	1812	8785
171	1816	8743
172	1821	8707
173	1825	8663
174	1830	8629
175	1834	8589
176	1840	8556
177	1845	8520
178	1852	8495
179	1860	8477
180	1865	8439
181	1869	8401
182	1874	8369
183	1881	8343
184	1885	8307
185	1891	8275
186	1895	8239
187	1901	8211
188	1906	8179
189	1910	8145
190	1914	8110
191	1920	8080
192	1924	8047
193	1931	8023
194	1935	7988
195	1939	7957
196	1944	7925
197	1948	7891
198	1953	7864
199	1959	7839
200	1964	7808
201	1969	7779
202	1973	7750
203	1980	7727
204	1987	7705
205	1991	7676
206	1996	7649
207	2005	7638
208	2010	7607
209	2013	7575
210	2018	7546
211	2023	7519
212	2027	7490
213	2032	7466
214	2038	7442
215	2047	7430
216	2051	7400
217	2054	7370
218	2062	7354
219	2066	7326
220	2071	7300
221	2083	7301
222	2087	7271
223	2091	7245
224	2094	7215
225	2102	7199
226	2110	7185
227	2114	7160
228	2119	7135
229	2123	7109
230	2129	7087
231	2133	7061
232	2137	7036
233	2142	7012
234	2148	6994
235	2152	6969
236	2156	6943
237	2161	6919
238	2165	6895
239	2171	6877
240	2175	6851
241	2183	6839
242	2187	6815
243	2192	6793
244	2198	6776
245	2202	6749
246	2209	6736
247	2217	6724
248	2221	6700
249	2226	6678
250	2234	6669
251	2242	6655
252	2245	6630
253	2249	6607
254	2254	6585
255	2257	6561
256	2261	6539
257	2268	6525
258	2273	6503
259	2277	6481
260	2280	6458
261	2284	6435
262	2290	6417
263	2294	6396
264	2298	6375
265	2306	6364
266	2315	6356
267	2323	6345
268	2331	6334
269	2335	6314
270	2339	6294
271	2345	6276
272	2348	6254
273	2355	6242
274	2360	6223
275	2370	6217
276	2374	6197
277	2379	6179
278	2387	6169
279	2391	6148
280	2404	6151
281	2409	6135
282	2414	6116
283	2422	6106
284	2432	6102
285	2440	6093
286	2444	6072
287	2449	6055
288	2453	6036
289	2457	6017
290	2462	5999
291	2466	5979
292	2470	5960
293	2473	5940
294	2486	5943
295	2490	5924
296	2495	5907
297	2500	5889
298	2504	5871
299	2509	5856
300	2513	5837
301	2517	5818
302	2525	5809
303	2529	5792
304	2535	5777
305	2543	5768
306	2549	5755
307	2554	5739
308	2558	5721
309	2563	5705
310	2567	5687
311	2571	5670
312	2576	5654
313	2580	5638
314	2584	5619
315	2594	5615
316	2601	5604
317	2606	5591
318	2612	5577
319	2618	5564
320	2623	5549
321	2634	5547
322	2647	5548
323	2658	5545
324	2668	5542
325	2673	5526
326	2677	5509
327	2681	5493
328	2697	5501
329	2704	5490
330	2714	5485
331	2717	5468
332	2735	5479
333	2746	5476
334	2760	5479
335	2771	5476
336	2785	5480
337	2797	5478
338	2805	5470
339	2814	5463
340	2824	5458
341	2830	5446
342	2840	5441
343	2851	5438
344	2862	5435
345	2874	5432
346	2883	5426
347	2892	5418
348	2903	5416
349	2911	5407
350	2920	5400
351	2931	5396
352	2945	5399
353	2955	5392
354	2963	5384
355	2972	5377
356	2981	5370
357	2991	5363
358	3000	5357
359	3010	5352
360	3019	5345
361	3030	5340
362	3042	5339
363	3053	5334
364	3062	5327
365	3073	5324
366	3084	5319
367	3093	5312
368	3102	5305
369	3111	5297
370	3121	5291
371	3129	5283
372	3136	5272
373	3141	5258
374	3145	5242
375	3148	5225
376	3152	5210
377	3156	5193
378	3159	5176
379	3162	5160
380	3166	5144
381	3169	5127
382	3172	5111
383	3176	5094
384	3179	5078
385	3182	5062
386	3185	5046
387	3188	5030
388	3191	5013
389	3195	4997
390	3198	4981
391	3201	4965
392	3204	4949
393	3208	4934
394	3211	4918
395	3215	4903
396	3218	4888
397	3221	4872
398	3224	4856
399	3227	4841
400	3231	4826
401	3234	4811
402	3237	4796
403	3240	4781
404	3244	4766
405	3247	4751
406	3250	4735
407	3253	4720
408	3256	4706
409	3259	4690
410	3262	4675
411	3265	4660
412	3268	4645
413	3271	4630
414	3274	4616
415	3277	4601
416	3281	4587
417	3284	4572
418	3287	4558
419	3290	4544
420	3293	4529
421	3296	4515
422	3299	4500
423	3302	4486
424	3306	4473
